time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-12T07:07:12.560Z,17.9278333333333,-66.8698333333333,9.47,1.95,md,7,237,,0.11,pr,pr71334378,2022-02-12T08:15:51.040Z,"5 km SSE of Maria Antonia, Puerto Rico",earthquake,0.61,0.8,0.115900616187987,7,reviewed,pr,pr
2022-02-12T07:05:54.200Z,17.9208333333333,-66.8425,11.81,2.45,md,13,224,,0.14,pr,pr71334373,2022-02-12T08:00:22.480Z,"8 km SE of Maria Antonia, Puerto Rico",earthquake,0.76,0.46,0.207428333713696,8,reviewed,pr,pr
2022-02-12T07:04:57.105Z,62.3212,-148.59,8.2,2.4,ml,,,,0.94,ak,ak0221z8axqj,2022-02-12T07:09:37.463Z,"58 km N of Chickaloon, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-02-12T06:50:49.480Z,38.8263321,-122.75383,0.31,1.27,md,11,149,0.01322,0.03,nc,nc73691796,2022-02-12T09:38:11.565Z,"3km W of Cobb, CA",earthquake,0.34,0.74,0.16,2,automatic,nc,nc
2022-02-12T06:50:08.610Z,38.8260002,-122.7545013,0.63,1.13,md,15,146,0.01284,0.03,nc,nc73691791,2022-02-12T09:12:11.428Z,"3km W of Cobb, CA",earthquake,0.29,0.47,0.1,4,automatic,nc,nc
2022-02-12T06:48:20.950Z,36.1768333,-118.0251667,3.22,1.12,ml,11,83,0.15,0.14,ci,ci40183856,2022-02-12T06:51:57.741Z,"12km S of Olancha, CA",earthquake,0.34,1.69,0.192,13,automatic,ci,ci
2022-02-12T06:36:25.334Z,-3.5195,143.8819,10,5,mb,,68,3.776,0.47,us,us7000gk89,2022-02-12T07:08:14.098Z,"27 km E of Wewak, Papua New Guinea",earthquake,7.1,1.9,0.087,42,reviewed,us,us
2022-02-12T06:31:24.665Z,62.023,-149.6303,32.4,1.4,ml,,,,0.67,ak,ak0221z7v7yq,2022-02-12T06:35:23.565Z,"19 km SE of Susitna North, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-02-12T06:26:11.766Z,64.5841,-149.2276,10,1.5,ml,,,,1.12,ak,ak0221z7u4d4,2022-02-12T06:38:03.961Z,"5 km WSW of Four Mile Road, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-02-12T06:14:38.501Z,63.573,-147.579,26.6,1.4,ml,,,,0.23,ak,ak0221z7rkfh,2022-02-12T06:18:41.361Z,"68 km ESE of Denali Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-02-12T06:03:42.600Z,36.0489998,-120.6181641,5,1.1,md,13,109,0.02661,0.08,nc,nc73691771,2022-02-12T07:53:11.950Z,"24km NW of Parkfield, CA",earthquake,0.49,0.73,0.26,5,automatic,nc,nc
2022-02-12T06:00:47.090Z,17.9161666666667,-66.9093333333333,12.49,2,md,6,267,,0.15,pr,pr71334363,2022-02-12T06:58:52.580Z,"6 km S of Guánica, Puerto Rico",earthquake,0.92,1.24,0.0377116821844128,5,reviewed,pr,pr
2022-02-12T05:46:41.506Z,59.286,-152.6945,62.1,2.3,ml,,,,0.65,ak,ak0221z7d1dw,2022-02-12T06:00:29.482Z,"44 km W of Nanwalek, Alaska",earthquake,,0.8,,,automatic,ak,ak
2022-02-12T05:30:39.848Z,-20.421,-177.4745,485.72,4.3,mb,,123,4.997,0.51,us,us7000gk7z,2022-02-12T06:24:37.040Z,"248 km WNW of Haveluloto, Tonga",earthquake,9.3,6.8,0.102,28,reviewed,us,us
2022-02-12T05:25:30.010Z,43.2008333,-110.9676667,7.97,1.64,ml,10,133,0.289,0.24,mb,mb80538234,2022-02-12T15:25:16.420Z,"3 km ENE of Alpine Northeast, Wyoming",earthquake,0.83,5.85,0.345,8,reviewed,mb,mb
2022-02-12T05:13:12.975Z,38.1341,-118.27,9.6,1.1,ml,11,151.41,0.219,0.3972,nn,nn00833729,2022-02-12T05:17:08.860Z,"31 km SSW of Mina, Nevada",earthquake,,1.4,0.45,6,automatic,nn,nn
